Môn học,Lớp,Chủ đề,Thể loại,Câu hỏi,Câu trả lời,Hướng dẫn giải
Toán,6,Đại số,Lý thuyết,Các dấu hiệu chia hết cho 2 và 5,"Các số có chữ số tận cùng là 0, 2, 4, 6, 8 thì chia hết cho 2 và chỉ những số đó mới chia hết cho 2
Các số có chữ số tận cùng là 0 hoặc 5 thì chia hết cho 5 và chỉ những số đó mới chia hết cho 5.
Ví dụ: 
102, 76 chia hết cho 2
260 145 chia hết cho 5
20,30,40 chia hết cho 2 và 5",
Toán,6,Đại số,Lý thuyết,Các dấu hiệu chia hết cho 3 và 9,"Các số có tổng các chữ số chia hết cho 9 thì chia hết cho 9 và chỉ những số đó mới chia hết cho 9.
Các số có tổng các chữ số chia hết cho 3 thì chia hết cho 3 và chỉ những số đó mới chia hết cho 3.
Chú ý: Các số chia hết cho 9 thì chia hết cho 3 nhưng chia hết cho 3 chưa chắc chia hết cho 9.
Ví dụ: 
264 - Ta có: 2 + 6 + 4 = 12 chia hết cho 3 nhưng không chia hết cho 9 nên 264 chia hết cho 3 và không chia hết cho 9.
315 - Ta có: 3 + 1 + 5 = 9 vừa chia hết cho 3 vừa chia hết cho 9 nên 315 vừa chia hết cho 3 vừa chia hết cho 9
1954 - Ta có: 1 + 9 + 5 + 4 = 19 không chia hết cho 9 cũng không chia hết cho 3 nên 1954 không chia hết cho 3 và 9",
Toán,6,Đại số,Lý thuyết,Số nguyên tố là gì ? ,"Số nguyên tố là số tự nhiên lớn hơn 1, chỉ có hai ước là 1 và chính nó.
Ví dụ:
11 chỉ có ước là 1 và 11 nên 11 là số nguyên tố",
Toán,6,Đại số,Lý thuyết,Hơp số là gì ?,"Hợp số là số tự nhiên lơn hơn 1, có nhiều hơn hai ước.
Ví dụ:
21 có các ước là 1; 3; 7; 21 nhiều hơn hai ước nên 21 là hợp số.",
Toán,6,Đại số,Lý thuyết,Ước chung là gì ?,"Ước chung của hai hay nhiều số là ước của tất cả các số đó.
Kí hiệu: ƯC(a, b) là tập hợp các ước chung của a và b.",
Toán,6,Đại số,Lý thuyết,Ước chung lơn nhất là gì ?,"Ước chung lớn nhất của hai hay nhiều số là số lớn nhất trong tập hợp các ước chung của các số đó.
Kí hiệu : ƯCLN(a, b) là ước chung lớn nhất của a và b.",
Toán,6,Đại số,Lý thuyết,Bội chung nhỏ nhất là gì ?,"Bội chung nhỏ nhất của hai hay nhiều số là số nhỏ nhất khác 0 trong tập hợp các bội chung của các số đó
Kí hiệu : BCNN(a, b) là bội chung nhỏ nhất của a và b.",
Toán,6,Đại số,Lý thuyết,Bội chung  là gì ?,"Bội chung của hai hay nhiều số là bội của tất cả các số đã cho.
BC(a, b) là tập hợp các bội chung của a và b.",
Toán,6,Đại số,Lý thuyết,Số nguyên dương là gì ? ,"Các số tự nhiên (khác 0) 1; 2; 3; 4; … còn được gọi là các số nguyên dương.
Số 0 không là số nguyên âm, cũng không phải là số nguyên dương.",
Toán,6,Đại số,Lý thuyết,Số nguyên âm là gì ? ," Các số - 1; -2; -3; … gọi là các số nguyên âm.
Số 0 không là số nguyên âm, cũng không phải là số nguyên dương.",
Toán,6,Đại số,Lý thuyết,Tập hợp số nguyên ,"Tập hợp gồm các số nguyên âm, số 0 và số nguyên dương
Ví dụ: Z = {...; -3; -3; -3; 0; 1; 2; 3;...}.",
Toán,6,Đại số,Lý thuyết,Cách cộng hai số nguyên cùng dấu,"Muốn cộng hai số nguyên âm, ta cộng phần số tự nhiên của chúng với nhau rồi đặt dấu “-“ trước kết quả",
Toán,6,Đại số,Lý thuyết,Cách cộng hai số nguyên trái dấu,"Muốn cộng hai số nguyên khác dấu (không đối nhau), ta tìm hiệu hai phân số tự nhiên của chúng (số lớn trừ số nhỏ) rồi đặt trước hiệu tìm được dấu của số có phần số tự nhiên lớn hơn.",
Toán,6,Đại số,Lý thuyết,Hai số đối nhau là gì ?,"Hai số nguyên a và b được gọi là đối nhau nếu a và b nằm khác phía với điểm 0 và có cùng khoảng cách đến gốc 0
Tổng của hai số đối nhau luôn bằng 0
Ví dụ: 
Số đối của – 3 là 3",
Toán,6,Đại số,Lý thuyết,Cách trừ hai số nguyên ,"Muốn trừ số nguyên a cho số nguyên b, ta cộng số nguyên a với số đối của số nguyên b: a – b = a + (-b).",
Toán,6,Đại số,Lý thuyết,Cách bỏ dấu ngoặc,"Khi bỏ dấu ngoặc có dấu “+” đằng trước, ta giữ nguyên dấu của các số hạng trong ngoặc
Khi bỏ dấu ngoặc có dấu “-” đằng trước, ta phải đổi dấu tất cả các số hạng trong dấu ngoặc: dấu “+” đổi thành “-” và dấu “-” đổi thành dấu “+”.",
Toán,6,Đại số,Lý thuyết,Cách nhân hai số nguyên khác dấu,"Muốn nhân hai số nguyên khác dấu, ta nhân phần số tự nhiên của hai số đó với nhau rồi đặt dấu “-” trước kết quả nhận được.
Nếu m, n ∈ N* thì m.(-n) = (-n).m = - (m.n).",
Toán,6,Đại số,Lý thuyết,Cách nhân hai số nguyên cùng dấu,"Muốn nhân hai số nguyên âm, ta nhân phần số tự nhiên của hai số đó với nhau.
Nếu m, n ∈ N*  thì (-m).(-n) = (-n).(-m) = m.n.",
Toán,6,Hình học,Lý thuyết,Hình tam giác đều là gì ?,"Trong tam giác đều:
- Ba cạnh bằng nhau.
- Ba góc bằng nhau và bằng 600.",
Toán,6,Hình học,Lý thuyết,Hình vuông là gì ?,"Trong hình vuông:
- Bốn cạnh bằng nhau.
- Bốn góc bằng nhau và bằng 900.
- Hai đường chéo bằng nhau.",
Toán,6,Hình học,Lý thuyết,Hình thoi là gì ?,"Trong hình thoi :
- Bốn cạnh bằng nhau.
- Hai đường chéo vuông góc với nhau.
- Các cặp góc đối bằng nhau.",
Toán,6,Hình học,Lý thuyết,Hình lục giác đều là gì?,"Hình lục giác đều có:
- Sáu cạnh bằng nhau.
- Sáu góc bằng nhau, mỗi góc bằng 1200.
- Ba đường chéo chính bằng nhau.",
Toán,6,Hình học,Lý thuyết,Hình chữ nhật là gì ?,"Trong hình chữ nhật có:
- Bốn góc bằng nhau và bằng 900C.
- Các cặp cạnh đối bằng nhau.
- Hai đường chéo bằng nhau.",
Toán,6,Hình học,Lý thuyết,Hình hình bình hành là gì ?,"Trong hình bình hành:
- Các cặp cạnh đối bằng nhau.
- Hai đường chéo cắt nhau tại trung điểm của mỗi đường.
- Các cặp cạnh đối song song.
- Các cặp góc đối bằng nhau.",
Toán,6,Hình học,Lý thuyết,Hình thang cân là gì ?,"Tron hình thang cân:
- Hai cạnh bên bằng nhau.
- Hai đường chéo bằng nhau.
- Hai cạnh đáy song song với nhau.
- Hai góc kề một đáy bằng nhau.",
Toán,6,Hình học,Lý thuyết,Chu vi hình vuông ?,"Hình vuông cạnh a:
Chu vi: C = 4a.",
Toán,6,Hình học,Lý thuyết,Diện tích hình vuông ?,"Hình vuông cạnh a:
Diện tích: S = a2.",
Toán,6,Hình học,Lý thuyết,Chu vi hình chữ nhật ?,"Hình chữ nhật có chiều dài là a, chiều rộng là b:
Chu vi: C = 2(a + b).",
Toán,6,Hình học,Lý thuyết,Diện tích hình chữ nhật ?,"Hình chữ nhật có chiều dài là a, chiều rộng là b:
Diện tích: S = a.b.",
Toán,6,Hình học,Lý thuyết,Chu vi hình thang?,"Hình thang có độ dài hai cạnh đáy là a, b chiều cao h:
Chu vi: C = a + b + c + d.",
Toán,6,Hình học,Lý thuyết,Diện tích hình thang ?,"Hình thang có độ dài hai cạnh đáy là a, b chiều cao h:
Diện tích: S = (a + b).h:2.",
Toán,6,Hình học,Lý thuyết,Chu vi hình bình hành ?,Chu vi: C = 2(a + b).,
Toán,6,Hình học,Lý thuyết,Diện tích hình bình hành ?,Diện tích: S = a.h.,
Toán,6,Hình học,Lý thuyết,Chu vi hình thoi ?,Chu vi: C = 4.m.,
Toán,6,Hình học,Lý thuyết,Diện tích hình thoi ?,Diện tích: S = (1/2).a.b,
Toán,6,Đại số,Lý thuyết,Phân số là gì ? ,"Với a, b ∈ ℤ, b ≠ 0 ta gọi a/b là một phân số, trong đó a là tử số (tử), b là mẫu số (mẫu) của phân số.
Ví dụ : 
 5/4 là một phân số với tử số là 5 và mẫu số là 4 đọc là năm phần tư",
Toán,6,Đại số,Lý thuyết,Khi nào hai phân số bằng nhau ?,"Hai phân số a/b và c/d (Với a, b,c,d ∈ ℤ, b,d ≠ 0) được gọi là bằng nhau nếu a.d = b.c",
Toán,6,Đại số,Lý thuyết,Cách quy đồng phân số,"Bước 1: Tìm một bội chung (thường là BCNN) của các mẫu để làm mẫu chung.
Bước 2: Tìm thừa số phụ của mỗi mẫu bằng cách chia mẫu chung cho từng mẫu.
Bước 3: Nhân tử và mẫu của mỗi phân số với thừa số phụ tương ứng.",
Toán,6,Đại số,Lý thuyết,Cách so sánh 2 phân số cùng mẫu,"Trong hai phân số cùng một mẫu dương, phân số nào có tử lớn hơn thì phân số đó lớn hơn.
",
Toán,6,Đại số,Lý thuyết,Cách so sánh 2 phân số khác mẫu,"Muốn so sánh hai phân số không cùng mẫu, ta viết chúng dưới dạng hai phân số có cùng một mẫu dương rồi so sánh các tử số với nhau: phân số nào có tử số lớn hơn thì phân số đó lớn hơn.",
Toán,6,Đại số,Lý thuyết,Cách cộng 2 phân số cùng mẫu,"Muốn cộng hai phân số cùng mẫu, ta cộng các tử và giữ nguyên mẫu:a/m + b/m = (a+b)/m. Với a, b, m ∈ ℤ, m≠ 0",
Toán,6,Đại số,Lý thuyết,Cách cộng 2 phân số khác mẫu," Muốn cộng hai phân số không cùng mẫu, ta viết chúng dưới dạng hai phân số cùng mẫu rồi cộng các tử và giữ nguyên mẫu",
Toán,6,Đại số,Lý thuyết,Cách trừ 2 phân số cùng mẫu," Muốn trừ hai phân số cùng mẫu, ta lấy tử số của phân số thứ nhất trừ đi tử số của phân số thứ hai và giữ nguyên mẫu số. a/m - b/m = (a-b)/m Với a, b, m ∈ ℤ, m≠ 0",
Toán,6,Đại số,Lý thuyết,Cách trừ 2 phân số khác mẫu,"Muốn trừ hai phân số không cùng mẫu, ta quy đồng mẫu hai phân số rồi trừ hai phân số đó.",
Toán,6,Đại số,Lý thuyết,Cách nhân 2 phân số,"Muốn nhân hai phân số, ta nhân các tử số với nhau và các mẫu số với nhau a/b .c/d = a.c/b.d   
Với a, b, c, d ∈ ℤ; b≠0; d≠0.",
Toán,6,Đại số,Lý thuyết,Cách chia 2 phân số,"Muốn chia một phân số cho một phân số khác 0, ta nhân số bị chia với phân số nghịch đảo của số chia. a/b : c/d = a/b . d/c = a.d/b.c 
Với a, b, c, d ∈ ℤ; b≠0; c≠0; d≠0",
Toán,6,Đại số,Lý thuyết,Phân số thập phân là gì ?,"Phân số thập phân là phân số có phần mẫu số là lũy thừa của 10
Ví dụ : 1/10 , -3/100, 6/1000",
Toán,6,Đại số,Lý thuyết,Số thập phân là gì ?," Các số 0,1;  0,01;  0,001 được gọi là số thập phân",
Toán,6,Đại số,Lý thuyết,Cách cộng 2 số thập phân,"Muốn cộng hai số thập phân âm, ta cộng hai số đối của của chúng và đặt dấu trừ đằng trước. (–a) + (–b) = – (a + b) với a, b > 0
Muốn cộng hai số thập phân khác dấu ta làm như sau: 
+ Nếu 0 < a b thì (–a) + b = b – a
+ Nếu a > b > 0 thì (–a) + b = –(a – b)",
Toán,6,Đại số,Lý thuyết,Cách trừ 2 số thập phân,"Phép trừ hai số thập phân được đưa về phép cộng hai số đối:
a – b  = a + (–b)",
Toán,6,Đại số,Lý thuyết,Cách nhân 2 số thập phân,"Ta thực hiện phép nhân hai số thập phân theo quy tắc tương tự như phép nhân hai số nguyên.
+ Nhân hai số cùng dấu: (–a).(–b) = a.b  với a, b > 0
+ Nhân hai số khác dấu: (–a).b = a.(–b) = – (a.b) với a, b > 0",
Toán,6,Đại số,Lý thuyết,Cách chia 2 sô thập phân,"Ta thực hiện phép chia hai số thập phân theo quy tắc tương tự như phép chia hai số nguyên.
+ Chia hai số nguyên cùng dấu: (–a) : (–b) = a : b với a, b > 0
+ Chia hai số nguyên khác dấu: (–a) : b = a : (–b) = –(a:b) với a, b > 0",
Toán,6,Đại số,Lý thuyết,Cách làm tròn số thập phân,"Để làm tròn một số thập phân dương đến một hàng nào đấy (gọi là hàng làm tròn), ta làm như sau: 
– Đối với chữ số hàng làm tròn:
+ Giữ nguyên nếu chữ số ngay bên phải nhỏ hơn 5
+ Tăng 1 đơn vị nếu chữ số ngay bên phải lớn hơn hay bằng 5.
– Đối với chữ số hàng làm tròn:
+ Bỏ đi nếu ở phần thập phân
+ Thay bởi các chữ số 0 nếu ở phần số nguyên.",
Toán,6,Đại số,Lý thuyết,Tỉ số là gì ?,"Tỉ số của số a và số b là thương của phép chia a cho b, được viết là a : b (với b khác 0)
Ví dụ: 
Tỉ số của 3 và 1/3 là 3:(1/3)",
Toán,6,Đại số,Lý thuyết,Tỉ số phần trăm là gì ?,"Tỉ số phần trăm của hai số a và b là: (a/b).100%
Ví dụ:
75% của 48 là 48.(75/100) = 36",
Toán,6,HÌnh học,Lý thuyết,Điểm là gì ?,"Dấu chấm nhỏ là hình ảnh của điểm
Ta thường dùng chữ cái in hoa để đặt tên điểm
Ví dụ: 
Điểm A, Điểm M,..",
Toán,6,HÌnh học,Lý thuyết,Đường thẳng là gì ?,Là đường không bị giới hạn về 2 phía,
Toán,6,HÌnh học,Lý thuyết,Điểm thuộc đường thẳng là gì ?,"Điểm thuộc đường thẳng nếu điểm đó nằm trên đường thẳng đó hay đường thẳng đó đi qua điểm đó.
Ta dùng kí hiệu ∈ thể hiện điểm thuộc đường thẳng
Ví dụ: 
 Điểm A nằm trên đường thẳng a nên A ∈ a",
Toán,6,HÌnh học,Lý thuyết,Điểm không thuộc đường thẳng là gì,"Điểm không thuộc đường thẳng nếu điểm đó không nằm trên đường thẳng hay đường thẳng đó không đi qua điểm đó.
Ta dùng kí hiệu ∉ để thể hiện điểm không thuộc đườn thẳng
Ví dụ: 
Điểm A không nằm trên đường thẳng b nên A ∉ b",
Toán,6,HÌnh học,Lý thuyết,Ba điểm thẳng hàng là gì ?,Ba điểm thẳng hàng là ba điểm thuộc cùng một đường thẳng.,
Toán,6,HÌnh học,Lý thuyết,Hai đường thẳng song song là gì ?,"Hai đường thẳng song song là hai đường thẳng không có điểm chung. Kí hiệu song song là //. 
Ví dụ : 
a // b",
Toán,6,HÌnh học,Lý thuyết,Hai đường thẳng cắt nhau là gì ?,"Hai đường thẳng cắt nhau là hai đường thẳng có một điểm chung.
Ví dụ: 
a và b cắt nhau tại điểm E",
Toán,6,HÌnh học,Lý thuyết,Hai đường thẳng trùng nhau là gì ?,Hai đường thẳng trùng nhau là hai đường thẳng có vô số điểm chung.,
Toán,6,HÌnh học,Lý thuyết,Đoạn thẳng là gì ?,"Đoạn thẳng AB, hay đoạn thẳng BA, là hình gồm 2 điểm A, B cùng với tất cả các điểm nằm giữa A và 
A; B là hai đầu mút (mút) của đoạn thẳng AB.",
Toán,6,HÌnh học,Lý thuyết,Cách đo độ dài đoạn thẳng,"Bước 1: Đặt thước trùng với đường thẳng sao cho vạch 0 của thước trùng với một đầu mút của đoạn thẳng.
Bước 2: Quan sát xem đầu mút còn lại trùng với vạch mấy của thước thì số chỉ ở vạch đó chính là độ dài đoạn thẳng.",
Toán,6,HÌnh học,Lý thuyết,Trung điểm của đoạn thẳng là gì ?,"Nếu điểm I nằm giữa hai điểm A và B sao cho IA = IB thì I gọi là trung điểm của đoạn thẳng AB .
Khi đó IA = IA = AB/2",
Toán,6,HÌnh học,Lý thuyết,Góc là gì ?,Góc là hình gồm hai tia chung gốc. Gốc chung của hai tia gọi là đỉnh của góc. Hai tia là hai cạnh của góc.,
Toán,6,HÌnh học,Lý thuyết,Cách đo góc ,"Muốn đo 1 góc xOy, ta đặt thước đo góc sao cho tâm của thước trùng với O, tia Ox đi qua vạch 0. Khi đó tia Oy đi qua vạch chỉ số đo của góc.",
Toán,6,HÌnh học,Lý thuyết,Góc vuông bao nhiêu độ ?,Góc vuông có số đo bằng 90o,
Toán,6,HÌnh học,Lý thuyết,Góc nhọn bao nhiêu độ ?,Góc nhọn có số đo 0o < ∠xAy < 90o,
Toán,6,HÌnh học,Lý thuyết,Góc tù bao nhiêu độ ?,Góc tù có số đo 90o < ∠xAy < 180o,
Toán,6,HÌnh học,Lý thuyết,Góc bẹt bao nhiêu độ ?,Góc bẹt có số đo bằng 180o,
Toán,6,HÌnh học,Lý thuyết,Biểu đồ cột là gì ?,"Biểu đồ cột là một loại biểu đồ được dùng trong thống kê, thường được dùng để thể hiện thay cho biểu đồ tranh khi số liệu thống kê là những số liệu lớn, phức tạp, hoặc số liệu có số thập phân.",
Toán,6,HÌnh học,Lý thuyết,Biểu đồ cột kép là gì ?,Biểu đồ cột kép được tạo thành khi ghép hai biểu đồ cột lại với nhau.,
Toán,7,Đại số,Lý thuyết,Số hữu tỉ là gì ?,"Số hữu tỉ là số viết được dưới dạng phân số a/b  với a, b ∈ ℤ, b ≠ 0.
Ví dụ: 
1/2 , 3/7….",
Toán,7,Đại số,Lý thuyết,Cách cộng và trừ số hữu tỉ ,"Mọi số hữu tỉ đều viết được dưới dạng phân số với mẫu dương nên ta có thể cộng, trừ hai số hữu tỉ bằng cách viết chúng dưới dạng phân số rồi áp dụng quy tắc cộng, trừ phân số.",
Toán,7,Đại số,Lý thuyết,Cách nhân và chia hai số hữu tỉ," Ta có thể nhân, chia hai số hữu tỉ bằng cách viết chúng dưới dạng phân số rồi áp dụng quy tắc nhân, chia phân số.",
Toán,7,Đại số,Lý thuyết,Lũy thừa của số hữu tỉ là gì ?,"Lũy thừa bậc n của một số hữu tỉ x, kí hiệu xn, là tích của n thừa số x (n là số tự nhiên lớn hơn 1) 
 xn = x.x.x.x.x…..
+ xn đọc là x mũ n hoặc x lũy thừa n hoặc lũy thừa bậc n của x.
+ x gọi là cơ số, n gọi là số mũ.
Quy ước: x0 = 1 (x ≠ 0); x1 = x.",
Toán,7,Đại số,Lý thuyết,Cách nhân và chia hai lũy thừa cùng cơ số,"Khi nhân hai lũy thừa cùng cơ số, ta giữ nguyên cơ số và cộng hai số mũ.
xm.xn = xm + n
Khi chia hai lũy thừa cùng cơ số khác 0, ta giữ nguyên cơ số và lấy số mũ của lũy thừa bị chia trừ số mũ của lũy thừa chia.
xm : xn = xm - n (x ≠ 0, m ≥ n)",
Toán,7,Đại số,Lý thuyết,Cách tính lũy thừa của lũy thừa ,"Khi tính lũy thừa của một lũy thừa, ta giữ nguyên cơ số và nhân hai số mũ.
(xm)n  = xm.n",
Toán,7,Đại số,Lý thuyết,Cách chuyển vế ,"Khi chuyển một số hạng từ vế này sang vế kia của một đẳng thức, ta phải đổi dấu số hạng đó: dấu “+” đổi thành dấu “–” và dấu “–” đổi thành dấu “+”.
Nếu a + b = c thì a = c – b
Nếu a – b = c thì a = c + b
Víd dụ: 
x + 3 = 6 => x = 6 - 3 = 3
x - 4 = 2 => x = 2 + 4 = 6",
Toán,7,Đại số,Lý thuyết,Số thập phân vô hạn tuần hoàn là gì ?,"Số thập phân vô hạn tuần hoàn là số thập phân có phần thập phân lặp lại và phần lặp lại vô hạn.
Chu kì của số thập phân vô hạn tuần hoàn là phần được lặp lại vô hạn lần.
Ví dụ:
0,2777…, chữ số 7 được lặp lại mãi. Nên 0,2(7) là số thập phân vô hạn tuần hoàn với chu kì là 7",
Toán,7,Đại số,Lý thuyết,Số thập phân hữu hạn là gì ?,"Số thập phân hữu hạn là số thập phân như 0,8; 1,25,…",
Toán,7,Đại số,Lý thuyết,Số vô tỉ là gì ?,"Số vô tỉ là số viết được dưới dạng số thập phân vô hạn không tuần hoàn.
Ví dụ: 
Tỉ số giữa chu vi và đường kính của một đường tròn luôn là số π (đọc là pi) và bằng 3,14159265358… đây là số vô tỉ.",
Toán,7,Đại số,Lý thuyết,Căn bậc 2 là gì ?," Căn bậc hai số học của một số a không âm, kí hiệu là √a, là số x không âm sao cho x2 = a
Ví dụ:
√2 , √3",
Toán,7,Đại số,Lý thuyết,Số thực là gì ?,"Số hữu tỉ và số vô tỉ được gọi chung là số thực.
Tập hợp số thực được kí hiệu là R
Ví dụ: 
số 0,6 = 3/5 là một số hữu tỉ nên cũng là một số thực.
Số √2 = 1,4142...là một số vô tỉ nên cũng là một số thực.",
Toán,7,Đại số,Lý thuyết,Cách tính giá trị tuyệt đối của số thực ,"Với số thực a tùy ý, ta có khoảng cách từ điểm a trên trục số đến gốc O là giá trị tuyệt đối của số a, kí hiệu là |a |
Giá trị tuyệt đối của 0 là 0.
Giá trị tuyệt đối của một số dương là chính nó.
Giá trị tuyệt đối của một số âm là số đối của nó.
Ví dụ: 
|2| = 2
|-3| = 3",
Toán,7,HÌnh học,Lý thuyết,Hai góc kề bù là gì ?,"Hai góc có một cạnh chung, hai cạnh còn lại là hai tia đối nhau được gọi là hai góc kề bù.
Hai góc kề bù có tổng số đo bằng 180°.",
Toán,7,HÌnh học,Lý thuyết,Tia phân giác của một góc là gì ?,Tia nằm giữa hai cạnh của một góc và tạo với hai cạnh ấy hai góc bằng nhau được gọi là tia phân giác của góc đó.,
Toán,7,HÌnh học,Lý thuyết,Dấu hiệu nhận biết hai đường thẳng song song,"Nếu đường thẳng c cắt hai đường thẳng phân biệt a, b và trong các góc tạo thành có một cặp góc so le trong bằng nhau hoặc một cặp góc đồng vị bằng nhau thì a và b song song với nhau. Kí hiệu là: a//b
Hai đường thẳng phân biệt cùng vuông góc với một đường thẳng thứ ba thì chúng song song với nhau.",
Toán,7,HÌnh học,Lý thuyết,Định lí là gì ?,"Định lí là một khẳng định được suy ra từ những khẳng định đúng đã biết. Mỗi định lí thường được phát biểu dưới dạng: Nếu … thì …
+ Phần giữa từ “nếu” và từ “thì” là giả thiết của định lí.
+ Phần sau từ “thì” là kết luận của định lí.
Ví dụ:
Định lí “Nếu hai góc đối đỉnh thì hai góc đó bằng nhau” được suy ra từ khẳng định đúng là “hai góc kề bù có tổng số đo bằng 180°).
Giả thiết là: hai góc đối đỉnh
Kết luận là: hai góc đó bằng nhau.",
Toán,7,HÌnh học,Lý thuyết,Chứng minh định lí là gì ?,Chứng minh một định lí là dùng lập luận để từ giả thiết và những khẳng định đúng đã biết suy ra kết luận của định lí,
Toán,7,HÌnh học,Lý thuyết,Tổng các góc trong một tam giác,"Tổng ba góc trong một tam giác là tổng số đo ba góc trong tam giác đó.
Tổng ba góc trong một tam giác bằng 180°.
Góc ngoài của tam giác là góc kề bù với 1 góc của tam giác.
Mỗi góc ngoài của một tam giác có số đo bằng tổng số đo hai góc trong không kề với nó.",
